,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
907,1199,Jakub Kiwior,pl POL,DF,Arsenal,eng Premier League,24-330,2000.0,8.0,2.0,327.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,175.0,84.0,2623.0,792.0,57.0,63.0,90.5,80.0,88.0,90.9,9.0,19.0,47.4,0.0,0.1,0.0,-0.1,1.0,8.0,0.0,0.0,8.0,175.0,167.0,7.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,147.0,1.0,0.0,1.0,0.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,0.0,3.0,5.0,60.0,2.0,5.0,2.0,3.0,1.0,5.0,16.0,1.0,202.0,31.0,91.0,103.0,8.0,0.0,202.0,2.0,1.0,50.0,1.0,50.0,94.0,333.0,153.0,1.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,9.0,5.0,3.0,62.5
908,1568,Jakub Moder,pl POL,MF,Brighton,eng Premier League,25-278,1999.0,3.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,81.8,254.0,82.0,10.0,14.0,71.4,8.0,8.0,100.0,0.0,0.0,0.0,0.0,0.2,0.5,-0.2,3.0,0.0,1.0,1.0,4.0,22.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,4.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,27.0,2.0,7.0,12.0,9.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,13.0,93.0,62.0,2.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
909,1628,Jamal Musiala,de GER,MF,Bayern Munich,de Bundesliga,21-319,2003.0,13.0,12.0,1007.0,11.2,9.0,44.0,21.0,47.7,3.93,1.88,0.2,0.43,15.0,0.0,0.0,0.0,5.5,5.5,0.13,3.5,3.5,443.0,540.0,82.0,6255.0,1738.0,271.0,313.0,86.6,140.0,164.0,85.4,18.0,22.0,81.8,2.0,2.4,3.3,-0.4,23.0,48.0,14.0,0.0,69.0,540.0,522.0,14.0,0.0,5.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,443.0,4.0,17.0,61.0,5.45,38.0,1.0,13.0,1.0,6.0,2.0,4.0,0.36,2.0,0.0,1.0,0.0,0.0,1.0,21.0,13.0,5.0,8.0,8.0,5.0,15.0,33.3,10.0,15.0,0.0,15.0,6.0,27.0,4.0,1.0,718.0,2.0,49.0,349.0,329.0,88.0,718.0,72.0,37.0,51.4,31.0,43.1,445.0,2398.0,1289.0,40.0,20.0,19.0,32.0,12.0,582.0,91.0,2.0,0.0,0.0,11.0,30.0,0.0,2.0,6.0,13.0,0.0,0.0,0.0,41.0,3.0,5.0,37.5
910,2,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20-360,2004.0,6.0,0.0,88.0,1.0,0.0,1.0,0.0,0.0,1.02,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,36.0,46.0,78.3,614.0,206.0,13.0,15.0,86.7,18.0,21.0,85.7,3.0,8.0,37.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,46.0,45.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,1.0,1.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,2.0,3.0,66.7,1.0,2.0,1.0,1.0,1.0,5.0,3.0,0.0,65.0,8.0,37.0,22.0,7.0,2.0,65.0,0.0,0.0,0.0,0.0,0.0,29.0,219.0,165.0,3.0,1.0,1.0,1.0,3.0,34.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,2.0,2.0,50.0
911,334,James Bree,eng ENG,"DF,MF",Southampton,eng Premier League,27-091,1997.0,7.0,4.0,313.0,3.5,0.0,1.0,1.0,100.0,0.29,0.29,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,177.0,215.0,82.3,2764.0,720.0,94.0,103.0,91.3,70.0,82.0,85.4,11.0,21.0,52.4,0.0,0.5,0.3,-0.5,6.0,5.0,3.0,2.0,13.0,215.0,194.0,20.0,3.0,0.0,0.0,13.0,13.0,3.0,2.0,0.0,0.0,177.0,1.0,4.0,7.0,2.02,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0,0.0,2.0,5.0,40.0,3.0,5.0,3.0,2.0,3.0,7.0,8.0,0.0,242.0,14.0,59.0,103.0,81.0,7.0,242.0,5.0,2.0,40.0,1.0,20.0,118.0,488.0,295.0,4.0,4.0,0.0,1.0,2.0,157.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,3.0,2.0,0.0,0.0,0.0,21.0,3.0,1.0,75.0
912,845,James Garner,eng ENG,"DF,MF",Everton,eng Premier League,23-303,2001.0,4.0,2.0,253.0,2.8,0.0,2.0,0.0,0.0,0.71,0.0,0.0,0.0,29.3,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,68.0,102.0,66.7,1083.0,598.0,31.0,38.0,81.6,31.0,42.0,73.8,5.0,11.0,45.5,0.0,0.0,0.1,0.0,1.0,6.0,1.0,1.0,3.0,102.0,78.0,22.0,0.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,68.0,2.0,8.0,5.0,1.78,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,6.0,4.0,0.0,7.0,10.0,70.0,3.0,2.0,2.0,0.0,4.0,14.0,9.0,0.0,134.0,13.0,46.0,62.0,26.0,1.0,134.0,5.0,2.0,40.0,3.0,60.0,55.0,199.0,63.0,1.0,1.0,0.0,1.0,1.0,62.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0,4.0,8.0,0.0,0.0,0.0,14.0,1.0,2.0,33.3
913,1016,James Hill,eng ENG,"DF,MF",Bournemouth,eng Premier League,23-000,2002.0,4.0,2.0,157.0,1.7,0.0,1.0,0.0,0.0,0.57,0.0,0.0,0.0,26.1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,53.0,89.0,59.6,979.0,464.0,20.0,26.0,76.9,27.0,38.0,71.1,6.0,20.0,30.0,1.0,0.2,0.2,0.8,2.0,9.0,4.0,0.0,9.0,89.0,71.0,18.0,1.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,53.0,0.0,4.0,6.0,3.44,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.57,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,4.0,7.0,8.0,0.0,109.0,7.0,28.0,55.0,26.0,0.0,109.0,1.0,1.0,100.0,0.0,0.0,51.0,134.0,72.0,0.0,2.0,0.0,2.0,0.0,56.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,5.0,3.0,4.0,42.9
914,1136,James Justin,eng ENG,DF,Leicester City,eng Premier League,26-322,1998.0,19.0,19.0,1644.0,18.3,2.0,17.0,5.0,29.4,0.93,0.27,0.12,0.4,14.1,0.0,0.0,0.0,1.1,1.1,0.07,0.9,0.9,671.0,855.0,78.5,9951.0,3176.0,376.0,430.0,87.4,259.0,309.0,83.8,20.0,70.0,28.6,1.0,0.3,0.4,0.7,5.0,44.0,7.0,3.0,43.0,855.0,691.0,163.0,14.0,0.0,1.0,28.0,149.0,0.0,0.0,0.0,0.0,671.0,1.0,20.0,20.0,1.1,12.0,1.0,0.0,3.0,4.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,35.0,21.0,19.0,12.0,4.0,19.0,35.0,54.3,16.0,25.0,7.0,18.0,28.0,63.0,83.0,2.0,1089.0,91.0,406.0,474.0,214.0,25.0,1089.0,21.0,5.0,23.8,9.0,42.9,487.0,2032.0,989.0,25.0,16.0,2.0,21.0,8.0,600.0,45.0,2.0,0.0,0.0,9.0,27.0,1.0,28.0,28.0,21.0,0.0,0.0,0.0,44.0,36.0,30.0,54.5
915,1381,James Maddison,eng ENG,MF,Tottenham,eng Premier League,28-048,1996.0,20.0,14.0,1165.0,12.9,8.0,32.0,16.0,50.0,2.47,1.24,0.25,0.5,16.1,4.0,0.0,0.0,4.8,4.8,0.15,3.2,3.2,660.0,820.0,80.5,10730.0,3386.0,322.0,357.0,90.2,265.0,312.0,84.9,49.0,110.0,44.5,4.0,2.7,4.4,1.3,26.0,71.0,27.0,5.0,107.0,820.0,727.0,89.0,32.0,8.0,5.0,73.0,3.0,49.0,30.0,6.0,0.0,660.0,4.0,7.0,62.0,4.8,43.0,7.0,4.0,3.0,5.0,0.0,13.0,1.01,9.0,1.0,2.0,1.0,0.0,0.0,18.0,11.0,5.0,9.0,4.0,8.0,23.0,34.8,15.0,10.0,3.0,7.0,10.0,28.0,15.0,0.0,963.0,17.0,135.0,424.0,415.0,56.0,963.0,45.0,21.0,46.7,19.0,42.2,678.0,3428.0,1580.0,31.0,28.0,11.0,14.0,16.0,737.0,61.0,4.0,0.0,0.0,17.0,43.0,2.0,73.0,10.0,11.0,0.0,0.0,0.0,48.0,5.0,6.0,45.5
916,1498,James Mcatee,eng ENG,"MF,FW",Manchester City,eng Premier League,22-084,2002.0,4.0,0.0,38.0,0.4,0.0,1.0,0.0,0.0,2.37,0.0,0.0,0.0,26.7,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,22.0,25.0,88.0,322.0,65.0,12.0,15.0,80.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1.0,2.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,32.0,0.0,5.0,10.0,17.0,1.0,32.0,3.0,1.0,33.3,2.0,66.7,17.0,124.0,51.0,2.0,0.0,0.0,0.0,1.0,25.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
